Total linhas verticais: 30

    X (mm) |    Y0 (mm) |    Y1 (mm) |   Altura | Cor
----------------------------------------------------------------------
       7.4 |      127.9 |      132.1 |      4.2 | (1.0, 1.0, 1.0)
       7.4 |      127.9 |      132.1 |      4.2 | (0.0, 0.0, 0.0)
      60.0 |       10.0 |      250.0 |    240.0 | (1.0, 1.0, 1.0)
      60.0 |       10.0 |      250.0 |    240.0 | (1.0, 1.0, 1.0)
      60.1 |       -9.3 |        9.5 |     18.8 | (0.13669031858444214, 0.12195010483264923, 0.1252918243408203)
      60.1 |      250.0 |      268.8 |     18.8 | (0.13669031858444214, 0.12195010483264923, 0.1252918243408203)
     139.0 |      250.0 |      258.0 |      8.0 | (0.0, 0.0, 0.0)
     139.0 |        2.0 |       10.0 |      8.0 | (0.0, 0.0, 0.0)
     247.7 |      224.0 |      226.9 |      2.9 | None
     251.8 |      223.2 |      227.8 |      4.6 | None
     255.8 |      222.8 |      225.8 |      3.0 | None
     273.5 |      222.0 |      227.4 |      5.3 | None
     298.0 |      250.0 |      258.0 |      8.0 | (0.0, 0.0, 0.0)
     298.0 |        2.0 |       10.0 |      8.0 | (0.0, 0.0, 0.0)
     307.0 |        5.2 |        9.5 |      4.2 | (1.0, 1.0, 1.0)
     307.0 |        5.2 |        9.5 |      4.2 | (0.0, 0.0, 0.0)
     307.0 |      250.5 |      254.8 |      4.2 | (1.0, 1.0, 1.0)
     307.0 |      250.5 |      254.8 |      4.2 | (0.0, 0.0, 0.0)
     316.0 |      250.0 |      258.0 |      8.0 | (0.0, 0.0, 0.0)
     316.0 |        2.0 |       10.0 |      8.0 | (0.0, 0.0, 0.0)
     333.6 |      223.6 |      226.5 |      2.9 | None
     337.7 |      222.8 |      227.4 |      4.6 | None
     341.6 |      222.4 |      225.4 |      3.0 | None
     359.3 |      221.6 |      227.0 |      5.3 | None
     445.4 |      250.9 |      259.9 |      9.0 | (0.0, 0.0, 0.0)
     450.4 |      222.8 |      225.6 |      2.9 | None
     475.0 |      250.0 |      258.0 |      8.0 | (0.0, 0.0, 0.0) <-- REGIÃO CAPA
     475.0 |        2.0 |       10.0 |      8.0 | (0.0, 0.0, 0.0) <-- REGIÃO CAPA
     606.6 |      127.9 |      132.1 |      4.2 | (1.0, 1.0, 1.0)
     606.6 |      127.9 |      132.1 |      4.2 | (0.0, 0.0, 0.0)
